"geographicAreaM49","timePointYears","aquaEnergyDemand","aquaProteinDemand"
112,"1996",35815128,743.6736
112,"1997",31827328,659.5136
112,"1998",42332712,875.3344
112,"1999",52025672,1069.3104
112,"2000",76779028,1575.9336
112,"2001",51910168.8,1065.81136
112,"2002",80098945.6,1646.21232
112,"2003",67860551.2,1395.14264
112,"2004",53380434.4,1096.75568
112,"2005",69950136,1437.7752
112,"2006",107013169.2,2198.26024
112,"2007",174545270.8,3583.08776
112,"2008",198467441.438144,4075.17502659981
112,"2009",214956659.919986,4415.34009080302
112,"2010",214064640,4394.874
112,"2011",227247204.617896,4668.84298173658
112,"2012",217316746.595126,4467.07790887273
112,"2013",190593739.375255,3916.9803892378
116,"1990",24794805.084439,493.471058040137
116,"1991",29686374.7275614,597.602508584199
116,"1992",41856854.9458347,851.734556060582
116,"1993",52061598.7087113,1180.95767812612
116,"1994",58588325.0977771,1334.75271210564
116,"1995",66364950,1544.79
116,"1996",72552300,1643.508
116,"1997",90694240,1948.8552
116,"1998",107161605,2279.3075
116,"1999",120771916,2538.4013
116,"2000",120431635,2530.3275
116,"2001",118679392.8,2531.61444
116,"2002",130572123.7,2761.44762
116,"2003",170291814.4,3613.19215
116,"2004",226275930,4497.812
116,"2005",284105274,5545.39
116,"2006",366071852,7096.916
116,"2007",391581509,7585.975
116,"2008",542868944.392209,10224.0131943927
116,"2009",676101788.617088,12795.8398724928
116,"2010",829506470,15670.5046
116,"2011",980142904.499138,18624.6317257115
116,"2012",1003407406.18,19148.6106891709
116,"2013",1229747062.47325,23473.2423809645
120,"1990",1608002.46611959,45.6083719304851
120,"1991",1165640.33186327,33.5236642312401
120,"1992",895761.070351926,26.6501380938756
120,"1993",805838.66018119,23.9674578001515
120,"1994",804557.340836586,23.9623344591368
120,"1995",879600,26.33
120,"1996",934200,27.435
120,"1997",1101060,32.751
120,"1998",1066773,31.67885
120,"1999",1078281,32.06355
120,"2000",938880,25.053
120,"2001",3095940,75.425
120,"2002",6439204.8,155.63226
120,"2003",6022238.8,157.47522
120,"2004",6513251.6,159.82612
120,"2005",6568212,163.9024
120,"2006",6693373,170.7956
120,"2007",8615747.6,214.7162
120,"2008",8784703.44111533,218.846457924073
120,"2009",8741012.38727262,218.311865892976
120,"2010",9104373,226.8485
120,"2011",8896611.07446294,222.402893243303
120,"2012",13443926.4085368,369.529301835771
120,"2013",13444583.4469014,369.792141771144
140,"1990",1806068.45520034,53.2992456610335
140,"1991",1794517.99286807,53.1303098431912
140,"1992",5313178.26477986,166.878333566953
140,"1993",4735871.74415656,148.708859593515
140,"1994",4112327.95372698,126.723306637948
140,"1995",3465000,103.95
140,"1996",2563680,75.53
140,"1997",1278720,40.32
140,"1998",1231656,38.836
140,"1999",1825972.2,57.5757
140,"2000",1898100,59.85
140,"2001",2003550,63.175
140,"2002",1864197,51.6902
140,"2003",1882688,52.2923
140,"2004",1892569,52.7509
140,"2005",1897440,53.072
140,"2006",2053976,58.2457
140,"2007",2069668,58.7716
140,"2008",2124361.87245131,60.1592079011369
140,"2009",2126444.65747166,60.2360265475953
140,"2010",2153500,61.1275
140,"2011",2131134.09156908,60.3968071690673
140,"2012",2133783.19630161,60.4822465789769
140,"2013",2136669.90320428,60.572144226777
144,"1990",22880142.3363332,685.779268741452
144,"1991",35073856.1084341,1050.86127647521
144,"1992",47809736.5762312,1432.17571398199
144,"1993",61003558.9745107,1827.20089148283
144,"1994",77043435.9677867,2307.43719793311
144,"1995",83857650,2511.45
144,"1996",89892210,2688.68
144,"1997",93037120,2786.56
144,"1998",170628825,5109.8725
144,"1999",103318928,3095.368
144,"2000",120360730,3605.125
144,"2001",99257868,2973.578
144,"2002",70456064.5,2111.6665
144,"2003",92233261,2763.955
144,"2004",84545019.6,2432.7988
144,"2005",79833664.8,2206.692
144,"2006",108730552.8,3053.4726
144,"2007",158160667.5,4463.89982
144,"2008",134607715.800875,3702.86396146697
144,"2009",150910847.506632,4299.24905559978
144,"2010",149592830.2,4115.30518
144,"2011",219269335.604082,5987.24850230276
144,"2012",163815532.311853,4510.43863062537
144,"2013",506285391.50054,14140.3632662318
156,"1990",19120474948.4284,451233.510555952
156,"1991",25010070470.8043,584742.391504167
156,"1992",32860752280.5046,751792.406749586
156,"1993",40887096401.9851,899538.679760792
156,"1994",55202714660.7138,1201129.11573465
156,"1995",62554917340,1383199.314
156,"1996",88351849648,1942746.3434
156,"1997",109928731236,2414282.998
156,"1998",130644471292.1,2861230.40325
156,"1999",142966846948.2,3147117.7277
156,"2000",157702460907.5,3512678.67375
156,"2001",166663043511.2,3752427.9948
156,"2002",189717191048.9,4263735.11984
156,"2003",216390134585.6,4909598.28807
156,"2004",235388221009.6,5343944.94756
156,"2005",248212074643,5666673.6172
156,"2006",269082478103.8,6173295.62174
156,"2007",285484940286,6604535.36014
156,"2008",314989960749.57,7217208.27246645
156,"2009",340664376582.522,7804249.14000106
156,"2010",348059392324,7991860.45907
156,"2011",384886445137.486,8824155.83670476
156,"2012",412174745149.82,9460492.40454897
156,"2013",437335675849.984,10026353.6315953
158,"1990",2555149009.31329,77782.8479458468
158,"1991",2229129219.42627,66867.3805299405
158,"1992",1870697631.10106,55107.1904467662
158,"1993",2439291009.68541,70254.8359751571
158,"1994",2457426154.1281,70238.1926811197
158,"1995",2577141015.4,73305.8281
158,"1996",2363021933.2,68009.4938
158,"1997",2223278434.8,63443.627
158,"1998",2159450940.4,60671.4764
158,"1999",2414603630.4,68722.89195
158,"2000",2297345549.4,63819.8777
158,"2001",3098006185,89026.89122
158,"2002",3543471597.8,100764.10076
158,"2003",3826849774.2,108484.91292
158,"2004",3582424893.8,101619.42874
158,"2005",3469239991.4,98086.2983
158,"2006",3120535492.8,88807.83092
158,"2007",3576442209.67681,98314.204098744
158,"2008",3418677647.68183,95566.6269041615
158,"2009",2961321799.20134,82195.8870407557
158,"2010",3158771039.6692,86923.7424244387
158,"2011",3322667915.14585,90938.7628354933
158,"2012",4044596613.75342,110792.566679923
158,"2013",4282860583.65289,115220.850815354
170,"1990",202755534.356342,6045.14122453257
170,"1991",234954648.077598,7027.90238605679
170,"1992",420034012.163739,12742.5204016492
170,"1993",384787392.158427,11631.1995463626
170,"1994",415770168.134948,12578.6635929411
170,"1995",628776622.6,18612.1342
170,"1996",435095914,13009.3452
170,"1997",592229491,17453.3706
170,"1998",606892606.4,17929.57545
170,"1999",723446576,21312.05
170,"2000",857704588,25244.047
170,"2001",822526692,24319.2154
170,"2002",839107778,24929.1751
170,"2003",903573919.2,26814.96974
170,"2004",975363731,29287.94484
170,"2005",948995500,28328.5
170,"2006",1020464537.6,30232.4176
170,"2007",1002391713.73913,29982.433715942
170,"2008",1012249373.12725,30329.9376910294
170,"2009",1256848552.97201,37724.9487129654
170,"2010",1173336127.29306,35522.0251442404
170,"2011",1167107113.23571,34909.1191280097
170,"2012",1242525553.61913,37124.6719028243
170,"2013",1190935982.12152,35663.0995862378
188,"1990",12052570.0080349,364.979225251091
188,"1991",33860163.5791252,1042.66417687005
188,"1992",39490423.3407405,1215.00152627314
188,"1993",58295803.5555816,1802.49479861193
188,"1994",68343917.0952701,2113.29465610219
188,"1995",130757632.4,4001.231
188,"1996",132741535,4069.2435
188,"1997",132981615,4075.5275
188,"1998",151788218.5,4679.66405
188,"1999",176865397.8,5455.2173
188,"2000",175764679,5454.9195
188,"2001",192267747,5963.1735
188,"2002",338418703.3,10400.96425
188,"2003",390077079.9,11993.57175
188,"2004",459774630.85,14181.178825
188,"2005",454059122.7,13960.00615
188,"2006",386487520.2,11807.13128
188,"2007",479188091.65475,14765.8753162426
188,"2008",499368189.478852,15449.1390540035
188,"2009",446912798.660308,13876.9496026
188,"2010",478993226.728704,14899.3943814069
188,"2011",496763594.508159,15438.9676753102
188,"2012",486887497.138708,15126.7259901726
188,"2013",536397087.554867,16681.7859307612
191,"1990",0,0
191,"1991",0,0
191,"1992",44159840.510804,938.723473854066
191,"1993",36742497.1773079,801.760964761935
191,"1994",40335317.1689229,857.327807471312
191,"1995",33597310,732.887
191,"1996",28883652,641.2274
191,"1997",38935384,865.6616
191,"1998",77192881,1681.88375
191,"1999",83061831,1830.44205
191,"2000",97978502,2180.7791
191,"2001",129442196.8,2925.07486
191,"2002",125724269.2,2817.52424
191,"2003",129171269.6,2877.99062
191,"2004",177012395.6,3968.74632
191,"2005",183806670,4132.5796
191,"2006",254308014.6,5745.66787
191,"2007",228350561.2,5204.90704
191,"2008",239008537.883133,5433.70144240506
191,"2009",267641157.539411,6042.45035677894
191,"2010",255303959.66,5839.1178688
191,"2011",264335104.263209,6001.52443746825
191,"2012",217850745.829874,4841.08663746027
191,"2013",227112421.456534,4989.84770420329
192,"1990",105810925.025192,3024.15705658963
192,"1991",101655777.312972,2940.8075644803
192,"1992",99428912.65667,2852.42473382097
192,"1993",92800514.5034205,2497.8565833799
192,"1994",121152168.563409,3169.24786877126
192,"1995",146941230,3756.253
192,"1996",230551998,5506.6594
192,"1997",307957168,7182.6404
192,"1998",357752656,7907.2049
192,"1999",376770635,8240.25705
192,"2000",311952337,7207.0514
192,"2001",225200867.2,5108.73544
192,"2002",272634141.5,6193.70955
192,"2003",277080862.7,6147.09339
192,"2004",280407922.8,5964.58812
192,"2005",265526664,6122.4504
192,"2006",364656529.4,8468.59797
192,"2007",482204288.2,10696.19428
192,"2008",521028837.887651,11429.9279301899
192,"2009",515497623.12975,11118.7068798324
192,"2010",447981535,9612.702
192,"2011",383027772.662239,8012.38381792858
192,"2012",426287514.555615,9009.21827367114
192,"2013",488702224.294914,10513.542846861
200,"1990",87008210.1933664,1956.59209122549
200,"1991",101443614.83091,2235.18237292875
200,"1992",130357503.005973,2836.32811584988
200,"1993",0,0
200,"1994",0,0
200,"1995",0,0
200,"1996",0,0
200,"1997",0,0
200,"1998",0,0
200,"1999",0,0
200,"2000",0,0
200,"2001",0,0
200,"2002",0,0
200,"2003",0,0
200,"2004",0,0
200,"2005",0,0
200,"2006",0,0
200,"2007",0,0
200,"2008",0,0
200,"2009",0,0
200,"2010",0,0
200,"2011",0,0
200,"2012",0,0
200,"2013",0,0
203,"1990",0,0
203,"1991",0,0
203,"1992",0,0
203,"1993",128411998.083312,2716.72058000138
203,"1994",137866200.516926,2938.03461749086
203,"1995",124659940,2662.198
203,"1996",148705938,3162.3556
203,"1997",164897148,3465.3226
203,"1998",187845459,3946.99545
203,"1999",212286668,4476.435
203,"2000",225827706,4740.8696
203,"2001",228774080.4,4798.67518
203,"2002",238693555.6,4996.08732
203,"2003",248352367.2,5191.65084
203,"2004",251157789.6,5247.54112
203,"2005",257719574,5386.6116
203,"2006",261171331,5454.21395
203,"2007",254301069.6,5326.63512
203,"2008",275167253.709971,5759.99933730528
203,"2009",272798490.532041,5695.18660495192
203,"2010",269914805,5643.88875
203,"2011",291900682.528785,6105.64320888012
203,"2012",289453342.533229,6047.89281989625
203,"2013",270625495.63482,5651.62391908007
208,"1990",639220000,17320.8
208,"1991",638813800,17308.92
208,"1992",657131600,17804.4
208,"1993",602738900,16329.66
208,"1994",651855200,17659.68
208,"1995",679882000,18418
208,"1996",630406800,17073.84
208,"1997",592339856,16039.0272
208,"1998",623758368,16882.6816
208,"1999",625860716,16935.0792
208,"2000",641703780,17362.156
208,"2001",618068200,16725.24
208,"2002",485638924,13092.8328
208,"2003",561359988,15182.5448
208,"2004",641547992,17355.674
208,"2005",582039000,15725.7948
208,"2006",553019637,14923.29406
208,"2007",453005532,12207.73648
208,"2008",508831867.201929,13736.2609954765
208,"2009",472713213.578883,12752.3209880351
208,"2010",520787026,14052.57068
208,"2011",523334749.640671,14118.2049266164
208,"2012",503505227.630839,13580.6568585612
208,"2013",476441236.98662,12849.6136554937
214,"1990",4242688.33438509,128.986260409979
214,"1991",7805682.27706672,237.128651598037
214,"1992",11211290.5827712,340.653693366855
214,"1993",17684139.9697083,534.906226168606
214,"1994",42500728.6263449,1240.03548726688
214,"1995",25602110,727.172
214,"1996",11844218,303.2218
214,"1997",9474800,267.63
214,"1998",10949242.2,311.6187
214,"1999",10360213.8,291.0997
214,"2000",35636943,1025.8415
214,"2001",46475967.6,1393.17936
214,"2002",63409698.7,1892.92258
214,"2003",35360522.6,990.83012
214,"2004",36098050,1024.51452
214,"2005",23791384.6,643.3098
214,"2006",23564052,636.2756
214,"2007",26457531,701.6398
214,"2008",26532343.8861044,703.231198782817
214,"2009",30474144.3239096,789.642280418787
214,"2010",30527450,787.957
214,"2011",41320489.8660782,1153.76771710619
214,"2012",19898119.8803489,513.705142834675
214,"2013",19765537.585439,509.951116194382
222,"1990",9771276.84859932,241.559764711342
222,"1991",2487239.72059277,74.9906305984114
222,"1992",9965175.84010203,262.54447401067
222,"1993",11453111.4589891,296.891797870867
222,"1994",26677785.0233442,712.508777908271
222,"1995",10498240,309.64
222,"1996",7555468,223.2694
222,"1997",8145508,245.5292
222,"1998",7019064.6,214.6471
222,"1999",5407452.2,162.4661
222,"2000",6341480,190.526
222,"2001",10515751.2,313.417
222,"2002",16288272.7,495.5246
222,"2003",22993838.9,703.9267
222,"2004",39325768.2,1220.1657
222,"2005",37770912,1180.728
222,"2006",50677804.5,1583.97225
222,"2007",59431547.1,1867.02056
222,"2008",61928470.8546551,1944.30113040477
222,"2009",72261281.082559,2262.64198515669
222,"2010",75656175.16,2369.6159
222,"2011",84239962.6160816,2624.98124435612
222,"2012",94998694.7902969,2947.17132219584
222,"2013",58488722.6760694,1813.38400346732
231,"1990",487668.000828431,15.1621855468164
231,"1991",494133.480378312,15.3000526286932
231,"1992",323090.415632769,10.0731550290835
231,"1993",409420.422677142,12.7086429179126
231,"1994",490464.528813608,15.2363838142039
231,"1995",808200,25.14
231,"1996",575070,17.875
231,"1997",357120,10.848
231,"1998",197637,5.7505
