AreaCode,ElementCode,ItemCode,Year,Value
32,5110,6655,1994,2000
32,5110,6655,1995,2000
32,5110,6655,1996,2000
32,5110,6655,1997,2000
32,5110,6655,1998,2000
32,5110,6655,1999,2000
32,5110,6655,2000,2000
32,5110,6655,2001,2000
32,5110,6655,2002,2000
32,5110,6655,2003,2000
32,5110,6655,2004,2000
32,5110,6655,2005,2000
32,5110,6655,2006,2000
32,5110,6655,2007,2000
32,5110,6655,2008,2000
32,5110,6655,2009,2000
32,5110,6655,2010,2000
32,5110,6655,2011,2000
32,5110,6655,2012,2000
32,5110,6655,2013,2000
32,5110,6655,2014,2000
33,5110,6655,1990,15903
33,5110,6655,1991,15963
33,5110,6655,1992,15893
33,5110,6655,1993,15823
33,5110,6655,1994,15753
33,5110,6655,1995,15682
33,5110,6655,1996,15612
33,5110,6655,1997,15568
33,5110,6655,1998,15524
33,5110,6655,1999,15480
33,5110,6655,2000,15435
33,5110,6655,2001,15391
33,5110,6655,2002,15400
33,5110,6655,2003,15410
33,5110,6655,2004,15420
33,5110,6655,2005,15430
33,5110,6655,2006,15441
33,5110,6655,2007,15293.4
33,5110,6655,2008,15145.8
33,5110,6655,2009,14998.2
33,5110,6655,2010,14850.6
33,5110,6655,2011,14703
33,5110,6655,2012,14600
33,5110,6655,2013,14600
33,5110,6655,2014,14600
35,5110,6655,1990,25
35,5110,6655,1991,25
35,5110,6655,1992,25
35,5110,6655,1993,25
35,5110,6655,1994,25
35,5110,6655,1995,25
35,5110,6655,1996,25
35,5110,6655,1997,25
35,5110,6655,1998,25
35,5110,6655,1999,25
35,5110,6655,2000,25
35,5110,6655,2001,25
35,5110,6655,2002,25
35,5110,6655,2003,25
35,5110,6655,2004,25
35,5110,6655,2005,25
35,5110,6655,2006,25
35,5110,6655,2007,25
35,5110,6655,2008,25
35,5110,6655,2009,25
35,5110,6655,2010,25
35,5110,6655,2011,25
35,5110,6655,2012,25
35,5110,6655,2013,25
35,5110,6655,2014,25
36,5110,6655,1990,2
36,5110,6655,1991,2
36,5110,6655,1992,2
36,5110,6655,1993,2
36,5110,6655,1994,2
36,5110,6655,1995,2
36,5110,6655,1996,2
36,5110,6655,1997,2
36,5110,6655,1998,2
36,5110,6655,1999,2
36,5110,6655,2000,2
36,5110,6655,2001,2
36,5110,6655,2002,2
36,5110,6655,2003,2
36,5110,6655,2004,2
36,5110,6655,2005,2
36,5110,6655,2006,2
36,5110,6655,2007,2
36,5110,6655,2008,2
36,5110,6655,2009,2
36,5110,6655,2010,2
36,5110,6655,2011,2
36,5110,6655,2012,2
36,5110,6655,2013,2
36,5110,6655,2014,2
37,5110,6655,1990,3000
37,5110,6655,1991,3000
37,5110,6655,1992,3000
37,5110,6655,1993,3000
37,5110,6655,1994,3000
37,5110,6655,1995,2990
37,5110,6655,1996,3000
37,5110,6655,1997,3100
37,5110,6655,1998,3125
37,5110,6655,1999,3125
37,5110,6655,2000,3125
37,5110,6655,2001,3125
37,5110,6655,2002,3125
37,5110,6655,2003,3200
37,5110,6655,2004,3200
37,5110,6655,2005,3200
37,5110,6655,2006,3200
37,5110,6655,2007,3200
37,5110,6655,2008,3200
37,5110,6655,2009,3200
37,5110,6655,2010,3200
37,5110,6655,2011,3200
37,5110,6655,2012,3200
37,5110,6655,2013,3200
37,5110,6655,2014,3200
38,5110,6655,1990,439
38,5110,6655,1991,439
38,5110,6655,1992,439
38,5110,6655,1993,440
38,5110,6655,1994,440
38,5110,6655,1995,440
38,5110,6655,1996,440
38,5110,6655,1997,440
38,5110,6655,1998,440
38,5110,6655,1999,440
38,5110,6655,2000,440
38,5110,6655,2001,440
