"Land Area","Ocean Area","Environment","Species","Scientific name","1990","S_1990","1991","S_1991","1992","S_1992","1993","S_1993","1994","S_1994","1995","S_1995","1996","S_1996","1997","S_1997","1998","S_1998","1999","S_1999","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Bangladesh","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","165087","","182493","","189863","","191698","","218048","","269742","","310738","","406844","","486794","","503126","","564672","","619626","","688999","","756152","","800092","","761381","","764126","","816652","","870828","","913594","","1146706","","1336130","","1525672","","1647827","","1733076","","1830982",""
"Bangladesh","Marine areas","Brackishwater","Crustaceans","Crustaceans","18624","","19555","","21000","","28525","","28763","","32434","","42038","","47738","","56416","","57770","","59143","","55499","","56020","","56503","","58044","","63052","","64700","","63600","","67197","","71607","","51417","","84781","","87540","","90105","","80693","","84024",""
"Bangladesh","Marine areas","Brackishwater","Marine fishes","Marine fishes","8881","","8945","","16000","","17520","","17379","","13301","","22126","","26748","","25851","","26912","","27801","","28044","","32026","","34101","","39493","","38049","","42413","","42320","","44140","","47839","","73825","","60290","","63220","","71720","","93657","","96632",""
"Barbados","Inland waters","Freshwater","Crustaceans","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0.5","F","0.5","F","0.5","F","0.5","F","0.5","F","0.5","F","0.5","F","0.5","F","0.5","F","0.5","F"
"Barbados","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","1.5","F","1.5","F","1.5","F","1.5","F","1.5","F","10","F","10","F","14","F","20","F","20","F"
"Belarus","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","17","","10","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","55","","13","","2","","14","","15","","6","","6","F","5","F","5","F","49","","97","","79","","144","","170","","146","","258","","329.5",""
"Belarus","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","16621","","14740","","8415","","7018","","6934","","5463","","6038","","4322","","4727","","4769","","6703","","4664","","6509","","5378","","4144","","5642","","8401","","14086","","14587","","15562","","16186","","16149","","15329","","13402","","10400","","8801.4",""
"Belgium","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","450","","546","","546","","546","","546","","546","","646","","546","","546","","811","","1041","","1010","","634","","361","F","189","F","139","F","68","","68","","46","","46","","39","","81","","0",".","173","","175","","50","F"
"Belgium","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","225","","300","","300","","300","","300","","300","","300","","300","","300","","786","","830","","820","","1200","","900","F","550","","275","F","35","F","35","F","25","F","430","F","200","F","20","F","277","F","39","F","39","F","32",""
"Belgium","Inland waters","Freshwater","Miscellaneous aquatic animals","Miscellaneous aquatic animals","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","25","F","25","F","55","F","100","F","300","F","0",".","0",".","0",".","0",".","0","."
